Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),index
66058,2016,8,18,0.0,1.0,595
66058,2016,8,19,0.0,1.0,596
66058,2016,8,20,0.0,1.0,597
66058,2016,8,21,0.0,1.0,598
66058,2016,8,22,0.0,1.0,599
66058,2016,8,23,1.0,1.0,600
66058,2016,8,24,1.0,1.0,601
66058,2016,8,25,44.0,1.0,602
66058,2016,8,26,0.0,1.0,603
66058,2016,8,27,1.0,1.0,604
66058,2016,8,28,0.0,1.0,605
66058,2016,8,29,0.0,1.0,606
66058,2016,8,30,0.0,1.0,607
66058,2016,8,31,0.0,1.0,608
66058,2016,9,1,0.0,1.0,609
66058,2016,9,2,11.0,1.0,610
66058,2016,9,3,26.0,1.0,611
66058,2016,9,4,0.0,1.0,612
66058,2016,9,5,0.0,1.0,613
66058,2016,9,6,0.0,1.0,614
66058,2016,9,7,0.0,1.0,615
66058,2016,9,8,0.0,1.0,616
66058,2016,9,9,0.0,1.0,617
66058,2016,9,10,1.0,1.0,618
66058,2016,9,11,0.0,1.0,619
66058,2016,9,12,0.0,1.0,620
66058,2016,9,13,0.0,1.0,621
66058,2016,9,14,2.0,1.0,622
66058,2016,9,15,0.0,1.0,623
66058,2016,9,16,0.0,1.0,624
66058,2016,9,17,0.0,1.0,625
66058,2016,9,18,0.0,1.0,626
66058,2016,9,19,10.0,1.0,627
66058,2016,9,20,0.0,1.0,628
66058,2016,9,21,0.0,1.0,629
66058,2016,9,22,0.0,1.0,630
66058,2016,9,23,2.0,1.0,631
66058,2016,9,24,0.0,1.0,632
66058,2016,9,25,1.0,1.0,633
66058,2016,9,26,1.0,1.0,634
66058,2016,9,27,0.0,1.0,635
66058,2016,9,28,0.0,1.0,636
66058,2016,9,29,1.0,1.0,637
66058,2016,9,30,0.0,1.0,638
66058,2016,10,1,0.0,1.0,639
66058,2016,10,2,0.0,1.0,640
66058,2016,10,3,0.0,1.0,641
66058,2016,10,4,0.0,1.0,642
66058,2016,10,5,0.0,1.0,643
66058,2016,10,6,0.0,1.0,644
66058,2016,10,7,0.0,1.0,645
66058,2016,10,8,0.0,1.0,646
66058,2016,10,9,0.0,1.0,647
66058,2016,10,10,0.0,1.0,648
66058,2016,10,11,1.0,1.0,649
66058,2016,10,12,0.0,1.0,650
66058,2016,10,13,0.0,1.0,651
66058,2016,10,14,0.0,1.0,652
66058,2016,10,15,0.0,1.0,653
66058,2016,10,16,0.0,1.0,654
66058,2016,10,17,0.0,1.0,655
