Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),index
61381,2016,8,30,0.0,1.0,607
61381,2016,8,31,0.0,1.0,608
61381,2016,9,1,0.0,1.0,609
61381,2016,9,2,19.0,1.0,610
61381,2016,9,3,10.0,1.0,611
61381,2016,9,4,0.0,1.0,612
61381,2016,9,5,0.0,1.0,613
61381,2016,9,6,0.0,1.0,614
61381,2016,9,7,0.0,1.0,615
61381,2016,9,8,0.0,1.0,616
61381,2016,9,9,0.0,1.0,617
61381,2016,9,10,2.0,1.0,618
61381,2016,9,11,0.0,1.0,619
61381,2016,9,12,0.0,1.0,620
61381,2016,9,13,0.0,1.0,621
61381,2016,9,14,8.0,1.0,622
61381,2016,9,15,0.0,1.0,623
61381,2016,9,16,0.0,1.0,624
61381,2016,9,17,0.0,1.0,625
61381,2016,9,18,0.0,1.0,626
61381,2016,9,19,34.0,1.0,627
61381,2016,9,20,0.0,1.0,628
61381,2016,9,21,0.0,1.0,629
61381,2016,9,22,1.0,1.0,630
61381,2016,9,23,0.0,1.0,631
61381,2016,9,24,0.0,1.0,632
61381,2016,9,25,1.0,1.0,633
61381,2016,9,26,0.0,1.0,634
61381,2016,9,27,0.0,1.0,635
61381,2016,9,28,0.0,1.0,636
61381,2016,9,29,1.0,1.0,637
61381,2016,9,30,2.0,1.0,638
61381,2016,10,1,0.0,1.0,639
61381,2016,10,2,0.0,1.0,640
61381,2016,10,3,0.0,1.0,641
61381,2016,10,4,0.0,1.0,642
61381,2016,10,5,0.0,1.0,643
61381,2016,10,6,0.0,1.0,644
61381,2016,10,7,0.0,1.0,645
61381,2016,10,8,0.0,1.0,646
61381,2016,10,9,0.0,1.0,647
61381,2016,10,10,0.0,1.0,648
61381,2016,10,11,4.0,1.0,649
61381,2016,10,12,0.0,1.0,650
61381,2016,10,13,2.0,1.0,651
61381,2016,10,14,9.0,1.0,652
61381,2016,10,15,0.0,1.0,653
61381,2016,10,16,0.0,1.0,654
61381,2016,10,17,0.0,1.0,655
61381,2016,10,18,4.0,1.0,656
61381,2016,10,19,0.0,1.0,657
61381,2016,10,20,0.0,1.0,658
61381,2016,10,21,0.0,1.0,659
61381,2016,10,22,13.0,1.0,660
61381,2016,10,23,6.0,1.0,661
61381,2016,10,24,0.0,1.0,662
61381,2016,10,25,0.0,1.0,663
61381,2016,10,26,0.0,1.0,664
61381,2016,10,27,0.0,1.0,665
61381,2016,10,28,12.0,1.0,666
61381,2016,10,29,3.0,1.0,667
61381,2016,10,30,0.0,1.0,668
61381,2016,10,31,2.0,1.0,669
61381,2016,11,1,0.0,1.0,670
61381,2016,11,2,0.0,1.0,671
61381,2016,11,3,0.0,1.0,672
61381,2016,11,4,0.0,1.0,673
61381,2016,11,5,0.0,1.0,674
61381,2016,11,6,0.0,1.0,675
61381,2016,11,7,0.0,1.0,676
61381,2016,11,8,0.0,1.0,677
61381,2016,11,9,1.0,1.0,678
61381,2016,11,10,20.0,1.0,679
61381,2016,11,11,0.0,1.0,680
61381,2016,11,12,20.0,1.0,681
61381,2016,11,13,0.0,1.0,682
61381,2016,11,14,0.0,1.0,683
